Canton;Population;Density;O65;O65P
ZH;1520968;880;0.17;258565
BE;1034977;174;0.208;215275
VD;799145;249;0.164;131060
AG;678207;482;0.177;120043
SG;507697;251;0.183;92909
GE;495249;1771;0.164;81221
LU;409557;274;0.176;72082
TI;353343;126;0.226;79856
VS;343955;66;0.196;67415
FR;318714;191;0.157;50038
BL;288132;556;0.219;63101
TG;276472;279;0.176;48659
SO;273194;345;0.196;53546
GR;198379;28;0.213;42255
BS;194766;5264;0.199;38758
NE;177964;220;0.19;33813
SZ;159165;175;0.177;28172
ZG;126837;531;0.17;21562
SH;81991;275;0.212;17382
JU;73419;88;0.209;15345
AR;55234;227;0.197;10881
NW;43223;157;0.203;8774
GL;40403;59;0.201;8121
OW;37841;77;0.188;7114
UR;36433;34;0.204;7432
AI;16145;93;0.191;3084
